"ïóå¸ÉÅÉÇÅF=IF(H5=""ñk"",0,IF(H5=""ñkñkìå"",1,IF(H5=""ñkìå"",2,IF(H5=""ìåñkìå"",3,IF(H5=""ìå"",4,IF(H5=""ìåìÏìå"",5,IF(H5=""ìÏìå"",6,IF(H5=""ìÏìÏìå"",7,IF(H5=""ìÏ"",8,IF(H5=""ìÏìÏêº"",9,IF(H5=""ìÏêº"",10,IF(H5=""êºìÏêº"",11,IF(H5=""êº"",12,IF(H5=""êºñkêº"",13,IF(H5=""ñkêº"",14, IF(H5=""ñkñkêº"", 15, """"))))))))))))))))",,,,,,,,,,,,,,,,
,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ,í∑ñÏ
îNåéì˙éû,ãCâ∑(Åé),ç~êÖó (mm),ç~ê·(cm),êœê·(cm),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóå¸,òIì_â∑ìx(Åé),èˆãCà≥(hPa),ëäëŒéºìx(Åì),äCñ ãCà≥(hPa),åªínãCà≥(hPa),ì˙éÀó (MJ/áu),ìVãC,éãíˆ(km),â_ó (10ï™î‰)
2017/1/1 1:00,-0.5,0,0,0,0,0.7,3.93,-1.5,5.5,93,1025.7,973.5,0,2,15,4
2017/1/1 2:00,-0.4,0,0,0,0,1.2,1.18,-1.4,5.5,93,1025.8,973.6,0,2,15,4
2017/1/1 3:00,-0.8,0,0,0,0,1.5,4.71,-1.5,5.5,95,1025.8,973.5,0,2,15,4
2017/1/1 4:00,-2,0,0,0,0,1.1,1.18,-2.8,5,94,1026.3,973.8,0,2,15,4
2017/1/1 5:00,-1.7,0,0,0,0,1.2,5.11,-2.2,5.2,96,1026.1,973.6,0,2,15,4
2017/1/1 6:00,-1.9,0,0,0,0,0.8,1.57,-2.7,5,94,1026.9,974.3,0,2,15,4
2017/1/1 7:00,-1.7,0,0,0,0,0.3,0.79,-2.5,5.1,94,1027.4,974.9,0,2,15,4
2017/1/1 8:00,-0.9,0,0,0,0.1,0.2,2.95,-2,5.3,92,1027.9,975.5,0.15,2,15,4
2017/1/1 9:00,0,0,0,0,0.4,0.5,5.11,-1.7,5.4,88,1027.9,975.7,0.51,2,6,7
2017/1/1 10:00,1.5,0,0,0,0.9,1.4,1.96,-1.4,5.5,81,1027.4,975.5,1.4,2,6,7
2017/1/1 11:00,3.9,0,0,0,1,1.5,1.96,-0.7,5.8,72,1026,974.6,1.73,2,6,7
2017/1/1 12:00,5.6,0,0,0,1,2.6,1.96,0,6.1,67,1024.6,973.6,1.9,2,6,7
2017/1/1 13:00,6.5,0,0,0,1,1.9,1.57,0.4,6.3,65,1023.5,972.7,1.87,2,6,7
2017/1/1 14:00,7.7,0,0,0,1,4.1,1.18,0.2,6.2,59,1023.2,972.6,1.81,2,6,7
2017/1/1 15:00,7.1,0,0,0,0.5,3.2,0.79,-0.3,6,59,1023.8,973.1,0.93,2,30,8
2017/1/1 16:00,6.2,0,0,0,1,3.1,0.79,1.1,6.6,70,1024.5,973.6,0.57,2,30,8
